subject_id,session,condition,folder_name,eeg_path,info_json_path,n_samples,duration_sec,n_channels_csv
202541,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202541\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202541\Session01\Test_camsiseS01R000\info.json,11602,45.32,32
202542,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202542\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202542\Session01\Test_kartonS01R000\info.json,11449,44.72,32
202542,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202542\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202542\Session01\Test_camsiseS01R000\info.json,11610,45.35,32
202543,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202543\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202543\Session01\Test_kartonS01R000\info.json,11466,44.79,32
202543,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202543\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202543\Session01\Test_camsiseS01R000\info.json,11637,45.46,32
202544,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202544\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202544\Session01\Test_kartonS01R000\info.json,11474,44.82,32
202544,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202544\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202544\Session01\Test_camsiseS01R000\info.json,11628,45.42,32
202546,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202546\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202546\Session01\Test_kartonS01R000\info.json,11473,44.82,32
202546,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202546\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202546\Session01\Test_camsiseS01R000\info.json,11619,45.39,32
202547,Session02,karton,Test_kartonS02R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202547\Session02\Test_kartonS02R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202547\Session02\Test_kartonS02R000\info.json,11473,44.82,32
202547,Session02,camsise,Test_camsiseS02R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202547\Session02\Test_camsiseS02R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202547\Session02\Test_camsiseS02R000\info.json,11615,45.37,32
202548,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202548\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202548\Session01\Test_kartonS01R000\info.json,11460,44.77,32
202548,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202548\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202548\Session01\Test_camsiseS01R000\info.json,11616,45.38,32
202549,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202549\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202549\Session01\Test_kartonS01R000\info.json,11478,44.84,32
202549,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202549\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202549\Session01\Test_camsiseS01R000\info.json,11625,45.41,32
202550,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202550\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202550\Session01\Test_kartonS01R000\info.json,11461,44.77,32
202550,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202550\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202550\Session01\Test_camsiseS01R000\info.json,11636,45.45,32
202551,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202551\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202551\Session01\Test_kartonS01R000\info.json,11460,44.77,32
202551,Session01,camsise,Test_camsiseS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202551\Session01\Test_camsiseS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202551\Session01\Test_camsiseS01R000\info.json,11607,45.34,32
202552,Session01,karton,Test_kartonS01R000,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202552\Session01\Test_kartonS01R000\s1_eeg.csv,C:\Users\Eray\Desktop\Surdurulebilir Ambalaj Deney Verileri\EEG Signals\202552\Session01\Test_kartonS01R000\info.json,11456,44.75,32
